Ticker,Exchange,Market Capitalization,Last,Change %,Change,Volume,Price to Earnings Ratio (TTM),Number of Employees,Sector
MBIN,NASDAQ,886514304,30.84,-1.02695764,-0.32,48840,6.5746719,329,Finance
LC,NYSE,886312572.21,11.31,-1.82291667,-0.21,1789892,,1538,Finance
HIBB,NASDAQ,884325456,53.28,2.79760756,1.45,404890,15.87539819,10200,Retail Trade
LX,NASDAQ,883681000,7,4.3219076,0.29,1577302,17.89810616,3227,Finance
GRC,NYSE,881986580,33.79,-0.96717468,-0.33,55993,33.30730184,1200,Producer Manufacturing
PRTY,NYSE,881848620,7.97,-2.08845209,-0.17,3130401,,18300,Retail Trade
TBBK,NASDAQ,881716679,15.31,0.72368421,0.11,391414,15.28713668,612,Finance
ATHA,NASDAQ,879374364,27.07,-2.59086002,-0.72,150702,,15,Health Technology
GOGO,NASDAQ,876367944,10.28,1.58102767,0.16,1466855,,1115,Communications
TPB,NYSE,872349832.0000001,45.52,-4.73001256,-2.26,144872,119.03338316,466,Consumer Non-Durables
LMAT,NASDAQ,871654700,42.85,-0.13982755,-0.06,98344,46.69205658,479,Health Technology
PRDO,NASDAQ,869205415,12.545,0.44035228,0.055,631273,7.14817146,4000,Consumer Services
PTGX,NASDAQ,868885919.9999999,20.65,-2.41020794,-0.51,413531,,73,Health Technology
AFIN,NASDAQ,868519000,7.7,-3.50877193,-0.28,747209,,,Finance
DBD,NYSE,867667728,11.17,-3.12228968,-0.36,324705,,22000,Electronic Technology
FPH,NYSE,866122306.1290879,5.84,0.68965517,0.04,113433,,175,Finance
SOL,NYSE,865955000,20.87,15.88006663,2.86,6510352,,159,Electronic Technology
ESPR,NASDAQ,865568430,31.05,0.61568373,0.19,522844,,193,Health Technology
TPC,NYSE,864062400,17,-0.41007616,-0.07,602785,,9100,Industrial Services
MVIS,NASDAQ,863795400,5.9,-0.16920474,-0.01,11316560,,30,Electronic Technology
CAN,NASDAQ,863200000,6.25,-3.84615385,-0.25,17360070,,333,Electronic Technology
AGRO,NYSE,860415920,7.28,-0.81743869,-0.06,195234,,8237,Process Industries
BANC,NYSE,854085457,17,-2.01729107,-0.35,251411,,660,Finance
OSUR,NASDAQ,853620320,11.9,-0.16778523,-0.02,1215591,,472,Health Technology
CRIS,NASDAQ,852298264,10.09,8.26180258,0.77,2508613,,28,Health Technology
WRLD,NASDAQ,851417329.6,123.88,3.15596636,3.79,79995,19.6985106,3744,Finance
ANNX,NASDAQ,851296056,22.31,-0.84444444,-0.19,84301,,24,Health Technology
PAE,NASDAQ,850456068,9.24,0.21691974,0.02,170799,55.44197234,20000,Commercial Services
CLSK,NASDAQ,849397060,38.9,-3.68903194,-1.49,3399052,,62,Miscellaneous
VRAY,NASDAQ,846679680,5.28,-13.37161608,-0.815,3786676,,309,Health Technology
ERII,NASDAQ,846553527,15.09,0,0,252457,38.1445905,188,Producer Manufacturing
CKH,NYSE,846286112,41.54,0.12051097,0.05,617743,79.16428163,2309,Industrial Services
CANG,NYSE,845880000,7.3,-2.92553191,-0.22,525300,4.13186813,3189,Technology Services
PAHC,NASDAQ,845076414.26,20.89,0.43269231,0.09,98420,19.45743686,1700,Health Technology
USCR,NASDAQ,843456906,50.58,0.47675805,0.24,497991,27.06015159,1791,Non-Energy Minerals
OFIX,NASDAQ,843142657,43.61,1.32434944,0.57,133369,35.39764783,1055,Health Technology
WNW,NASDAQ,840250000,33.61,-10.03747323,-3.75,275011,,,Retail Trade
AGM,NYSE,839125056.56,78.16,-1.13837592,-0.9,29027,9.59745557,103,Finance
SRI,NYSE,838784618,31.06,-2.63322884,-0.84,71522,,4700,Producer Manufacturing
NEX,NYSE,838026390,3.91,-2.49376559,-0.1,823403,,6525,Industrial Services
VET,NYSE,837407000,5.29,0.18939394,0.01,2088043,,790,Energy Minerals
TEO,NYSE,836573000,6.64,-0.3003003,-0.02,266015,,23728,Communications
NX,NYSE,833838820,25.4,0.39525692,0.1,330888,21.54842007,3767,Producer Manufacturing
WETF,NASDAQ,833179200,5.6,-1.4084507,-0.08,506435,,208,Finance
KIDS,NASDAQ,832830414.0000001,42.59,0.80473373,0.34,108598,,94,Health Technology
FORR,NASDAQ,832329960,43.89,-2.29296527,-1.03,22973,67.74242196,1795,Commercial Services
FBM,NYSE,832201488.0000001,19.26,0.3125,0.06,173471,18.32585664,3500,Distribution Services
PUMP,NYSE,831523120,8.24,0.36540804,0.03,972513,,2200,Industrial Services
GEL,NYSE,831085599.6600001,6.78,-1.16618076,-0.08,908673,,2200,Industrial Services
ANDE,NASDAQ,830398629.9999999,25.18,-1.4481409,-0.37,147285,,2320,Process Industries
MGPI,NASDAQ,830058306,49.07,0.14285714,0.07,45154,20.09349627,341,Process Industries
KELYA,NASDAQ,829554181.4,21.11,-3.60730594,-0.79,115594,,7700,Commercial Services
CNOB,NASDAQ,829081485,20.85,-4.35779817,-0.95,88175,12.58224633,,Finance
IMKTA,NASDAQ,827847107.28048,42,-2.12071778,-0.91,111124,4.86552068,27000,Retail Trade
VFF,NASDAQ,826408097.9999999,12.51,0.08,0.01,1863016,,1000,Process Industries
