Ticker,Exchange,Market Capitalization,Last,Change %,Change,Volume,Price to Earnings Ratio (TTM),Number of Employees,Sector
ZCMD,NASDAQ,49331927.7,1.98,2.59067358,0.05,133645,12.96171927,86,Commercial Services
CRT,NYSE,49324200,8.32,1.20792633,0.0993,13329,10.14650704,,Energy Minerals
AIRI,NYSE ARCA,49181190,1.55,0,0,232816,,159,Electronic Technology
JT,NYSE,49094900,3.0402,1.00332226,0.0302,116831,,,Finance
AAME,NASDAQ,48994320,2.4,-2.04081633,-0.05,8337,42.31433506,155,Finance
CNSP,NASDAQ,48905209.99999999,2.05,1.48514851,0.03,576543,,5,Health Technology
CPIX,NASDAQ,48653784,3.24,0.62111801,0.02,464632,,94,Health Technology
BWL.A,NYSE ARCA,48461480.13,9.39,-1.67539267,-0.16,493,,500,Consumer Services
SEAC,NASDAQ,48259588.5,1.285,0,0,1017429,,182,Electronic Technology
SRAX,NASDAQ,48240367,3.01,-1.63398693,-0.05,143609,,135,Commercial Services
MEDS,NASDAQ,48235471.99999999,5.96,-1.32450331,-0.08,56624,,29,Commercial Services
MTC,NASDAQ,48168000,2.4,26.31578947,0.5,16535859,,,Technology Services
CVU,NYSE ARCA,48163739,4.03,0.24875622,0.01,28147,,258,Electronic Technology
OBLN,NASDAQ,47949881.42,6.1706,18.89402697,0.9806,66120638,,34,Health Technology
BHAT,NASDAQ,47837532,1.31,3.1496063,0.04,4373479,,,Consumer Durables
SYN,NYSE ARCA,47766033,0.89,5.16365355,0.0437,20327820,,11,Health Technology
RKDA,NASDAQ,47347168,3.52,15.40983607,0.47,1147875,,61,Process Industries
KRBP,NASDAQ,46866062.7,9.43,-0.73684211,-0.07,19701,,,Health Technology
OPGN,NASDAQ,46759600,2.32,1.31004367,0.03,1048536,,40,Commercial Services
KTRA,NASDAQ,46611747,1.89,3.79482673,0.0691,492065,,19,Distribution Services
BCOW,NASDAQ,46602411.5,9.77,-3.74384236,-0.38,1039,33.88981636,104,Finance
DFNS,NYSE,46575000,10.8,-0.36900369,-0.04,174069,1372.15189873,,Finance
NTWK,NASDAQ,46562000,4,-5.21327014,-0.22,62339,14.29539295,1400,Technology Services
SONN,NASDAQ,46546147,2.71,1.49812734,0.04,529967,,9,Health Technology
ALIM,NASDAQ,46388666.19599999,8.1108,-6.55760369,-0.5692,48133,,127,Health Technology
CLBS,NASDAQ,46356440,2.39,-4.4,-0.11,2781864,,27,Distribution Services
HCAP,NASDAQ,46297389.59999999,7.77,0.25806452,0.02,27276,,,Miscellaneous
ESP,NYSE ARCA,46168217.29099999,19.2157,0.86981627,0.1657,2338,35.97733711,151,Electronic Technology
PRPO,NASDAQ,46168092,2.68,9.3877551,0.23,1095608,,51,Health Technology
FSI,NYSE ARCA,46148570,3.77,3.57142857,0.13,36690,12.78988053,38,Process Industries
CSPI,NASDAQ,45997091.55,10.755,-10.82089552,-1.305,27199,,112,Technology Services
VOC,NYSE,45815000,2.695,-1.28205128,-0.035,67296,8.4,,Energy Minerals
ASTC,NASDAQ,45744977,2.465,5.79399142,0.135,1273557,,27,Electronic Technology
ESEA,NASDAQ,45706048.8,7.88,-0.25316456,-0.02,12717,23.01194291,,Transportation
CJJD,NASDAQ,45554160,1.2,0.84033613,0.01,1156620,,1074,Retail Trade
OCCI,NASDAQ,45468600,13.189,-0.98348348,-0.131,42863,,,Miscellaneous
DWIN.U,NYSE,45412500,10.41,0.28901734,0.03,126128,,,Finance
HCDI,NASDAQ,45381240,3.33,4.0625,0.13,1466222,264.46280992,40,Finance
JCS,NASDAQ,45111123.2,4.84,1.46750524,0.07,12781,29.62732919,203,Electronic Technology
NHIC,NASDAQ,45065625,10.45,0.57747834,0.06,10475,,,Finance
AEZS,NASDAQ,44882390.4592,0.716072,-6.88270481,-0.052928,8054416,,11,Health Technology
NHLD,NASDAQ,44874878,3.26,-0.6097561,-0.02,2485,,1010,Finance
NXTD,NASDAQ,44812800,1.28,14.28571429,0.16,6475742,,30,Commercial Services
FWP,NASDAQ,44684700,6.51,-1.06382979,-0.07,4012,,5,Health Technology
AACG,NASDAQ,44433800,1.36,-2.85714286,-0.04,67593,,768,Commercial Services
DAIO,NASDAQ,44269948.4,5.26,0.09514748,0.005,2115,,96,Electronic Technology
XPL,NYSE ARCA,44261168.28,0.7617,7.28169014,0.0517,7125863,,3,Non-Energy Minerals
WTT,NYSE ARCA,44257800,2.04,0,0,222862,,154,Electronic Technology
EYES,NASDAQ,44222098.5,1.905,1.06100796,0.02,2146785,,112,Health Technology
AUTO,NASDAQ,44116820,3.35,-2.61627907,-0.09,165799,,171,Commercial Services
SALM,NASDAQ,44028098.4,1.65,-5.71428571,-0.1,669552,,1487,Consumer Services
ABIO,NASDAQ,43809976.853,4.6999,1.07311828,0.0499,664792,,13,Health Technology
MKGI,NASDAQ,43801692.00000001,2.365,4.18502203,0.095,142617,,12,Commercial Services
ADTX,NASDAQ,43777130.5,3.565,-6.18421053,-0.235,4980523,,2,Health Technology
VIRC,NASDAQ,43776150,2.75,-0.36231884,-0.01,11541,,825,Producer Manufacturing
GRCY,NASDAQ,43750200,10.27,0.78508342,0.08,1328,,,Finance
AIKI,NASDAQ,43510569.20000001,1.246,2.97520661,0.036,6641162,,3,Health Technology
HNRG,NASDAQ,43505019.6,1.428,-4.8,-0.072,200147,,915,Energy Minerals
NES,NYSE ARCA,43216376,2.74,-0.36363636,-0.01,25751,,700,Utilities
NSPR,NYSE ARCA,43066506.45000001,0.6985,-3.16095938,-0.0228,9266376,,48,Health Technology
